Train ID,Station Name,Date,Planned Arrival,Actual Arrival,Delay (mins)
S14-Udarata Menike,Colombo Fort,2024-04-01,07:00,07:10,10.0
S14-Udarata Menike,Maradana,2024-04-01,07:20,07:20,0.0
S14-Udarata Menike,Ragama,2024-04-01,08:01,07:56,-5.0
S14-Udarata Menike,Gampaha,2024-04-01,08:05,08:05,0.0
S14-Udarata Menike,Veyangoda,2024-04-01,08:49,08:54,5.0
S14-Udarata Menike,Polgahawela,2024-04-01,08:42,08:42,0.0
S14-Udarata Menike,Rambukkana,2024-04-01,10:12,10:12,0.0
S14-Udarata Menike,Kadugannawa,2024-04-01,09:11,09:21,10.0
S14-Udarata Menike,Kandy,2024-04-01,11:40,12:00,20.0
S14-Podi Menike,Colombo Fort,2024-04-01,08:00,08:00,0.0
S14-Podi Menike,Maradana,2024-04-01,08:32,08:32,0.0
S14-Podi Menike,Ragama,2024-04-01,09:03,09:08,5.0
S14-Podi Menike,Gampaha,2024-04-01,08:55,09:10,15.0
S14-Podi Menike,Veyangoda,2024-04-01,10:18,10:23,5.0
S14-Podi Menike,Polgahawela,2024-04-01,10:16,10:36,20.0
S14-Podi Menike,Rambukkana,2024-04-01,10:46,10:51,5.0
S14-Podi Menike,Kadugannawa,2024-04-01,10:40,Cancelled,
S14-Podi Menike,Kandy,2024-04-01,11:24,Cancelled,
S12-Tikiri Menike,Colombo Fort,2024-04-01,06:00,06:10,10.0
S12-Tikiri Menike,Maradana,2024-04-01,06:24,06:24,0.0
S12-Tikiri Menike,Ragama,2024-04-01,06:47,06:47,0.0
S12-Tikiri Menike,Gampaha,2024-04-01,07:33,07:43,10.0
S12-Tikiri Menike,Veyangoda,2024-04-01,07:20,07:30,10.0
S12-Tikiri Menike,Polgahawela,2024-04-01,08:39,08:44,5.0
S12-Tikiri Menike,Rambukkana,2024-04-01,07:50,08:58,68.0
S12-Tikiri Menike,Kadugannawa,2024-04-01,09:16,09:26,10.0
S12-Tikiri Menike,Kandy,2024-04-01,09:41,09:41,0.0
S12-Senkadagala Menike,Colombo Fort,2024-04-01,06:00,06:20,20.0
S12-Senkadagala Menike,Maradana,2024-04-01,06:33,06:48,15.0
S12-Senkadagala Menike,Ragama,2024-04-01,06:55,07:10,15.0
S12-Senkadagala Menike,Gampaha,2024-04-01,06:59,06:59,0.0
S12-Senkadagala Menike,Veyangoda,2024-04-01,08:13,08:08,-5.0
S12-Senkadagala Menike,Polgahawela,2024-04-01,07:49,07:49,0.0
S12-Senkadagala Menike,Rambukkana,2024-04-01,08:22,08:27,5.0
S12-Senkadagala Menike,Kadugannawa,2024-04-01,10:08,10:28,20.0
S12-Senkadagala Menike,Kandy,2024-04-01,09:07,10:25,78.0
Intercity,Colombo Fort,2024-04-01,07:00,07:00,0.0
Intercity,Maradana,2024-04-01,07:20,07:25,5.0
Intercity,Ragama,2024-04-01,08:00,08:15,15.0
Intercity,Gampaha,2024-04-01,08:13,08:23,10.0
Intercity,Veyangoda,2024-04-01,08:18,08:33,15.0
Intercity,Polgahawela,2024-04-01,08:33,Cancelled,
Intercity,Rambukkana,2024-04-01,09:43,09:43,0.0
Intercity,Kadugannawa,2024-04-01,10:33,10:33,0.0
Intercity,Kandy,2024-04-01,10:13,10:13,0.0
S14-Udarata Menike,Colombo Fort,2024-04-02,06:00,06:00,0.0
S14-Udarata Menike,Maradana,2024-04-02,06:22,06:47,25.0
S14-Udarata Menike,Ragama,2024-04-02,07:07,07:07,0.0
S14-Udarata Menike,Gampaha,2024-04-02,07:39,07:59,20.0
S14-Udarata Menike,Veyangoda,2024-04-02,08:13,08:33,20.0
S14-Udarata Menike,Polgahawela,2024-04-02,08:22,08:27,5.0
S14-Udarata Menike,Rambukkana,2024-04-02,08:18,08:18,0.0
S14-Udarata Menike,Kadugannawa,2024-04-02,10:11,10:54,43.0
S14-Udarata Menike,Kandy,2024-04-02,10:11,10:16,5.0
S14-Podi Menike,Colombo Fort,2024-04-02,04:00,04:05,5.0
S14-Podi Menike,Maradana,2024-04-02,04:28,04:48,20.0
S14-Podi Menike,Ragama,2024-04-02,04:51,04:51,0.0
S14-Podi Menike,Gampaha,2024-04-02,05:40,05:40,0.0
S14-Podi Menike,Veyangoda,2024-04-02,06:07,06:02,-5.0
S14-Podi Menike,Polgahawela,2024-04-02,05:55,06:05,10.0
S14-Podi Menike,Rambukkana,2024-04-02,06:23,06:33,10.0
S14-Podi Menike,Kadugannawa,2024-04-02,06:15,06:15,0.0
S14-Podi Menike,Kandy,2024-04-02,07:33,07:38,5.0
S12-Tikiri Menike,Colombo Fort,2024-04-02,06:00,06:00,0.0
S12-Tikiri Menike,Maradana,2024-04-02,06:20,06:25,5.0
S12-Tikiri Menike,Ragama,2024-04-02,07:01,07:11,10.0
